,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,https://t.co/erPK6dADGC, ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
1,"RT @MnetKR: [#킹덤]&lt;INTRODUCTION STAGE&gt; 글로벌 라이브 스트리밍&amp;퍼포먼스 평가 안내

자세한 내용은 링크를 확인하세요!
Check out the link below for details!
▶https://t.co/54dSl…",       lt introduction stage gt               amp                                check out the link below for details    ,0.0,0.0,positive,0.0,0.84,0.16,0.2732
2,"RT @cuestion_p: ¡Ya estamos en vivo!

Hoy te hablamos sobre militares que han cambiado sus versiones ante la JEP en caso de falsos positivo…",  ya estamos en vivo   hoy te hablamos sobre militares que han cambiado sus versiones ante la jep en caso de falsos positivo ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
4,RT @MSNBC: Opinion | @tiffanycli: Australia’s proposed news media law may have deeply problematic consequences for free speech and access t…, opinion      australia s proposed news media law may have deeply problematic consequences for free speech and access t ,0.2,0.6000000000000001,positive,0.156,0.683,0.161,0.0276
5,"RT @MegumiMatsuda3: 2月19日(金曜)

イルカ達が見つかって追い回されています‼️
殺されてしまう種類です‼️

BLUE続きの後なのでハンター達は躍起になってるかも。

イルカ水族館ビジネスを隠匿するために、イルカ達が不用に殺され続ける事実を知ってくださ…", 2 19                                            blue                                                                    ,0.0,0.1,neutral,0.0,1.0,0.0,0.0
6,"RT @kylenabecker: Mark Zuckerberg is *EDITING* Facebook.

It is time to cut the crap, Congress.🔻
https://t.co/vAUZSqX3Xi", mark zuckerberg is  editing  facebook   it is time to cut the crap  congress    ,-0.8,0.8,negative,0.299,0.701,0.0,-0.5719
8,"Como me gustaría trabajar fuera de las redes sociales, pero mis clientes siguen usando Facebook y me obligan a usar… https://t.co/hdAIovc9A8",como me gustar a trabajar fuera de las redes sociales  pero mis clientes siguen usando facebook y me obligan a usar   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
9,https://t.co/8c37d3PwvX - Roses (Imanbek Mix),    roses  imanbek mix ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
10,"RT @BrowMami: Facebook is useful sometimes, here’s some hacks I found. https://t.co/GJyKMPViwv", facebook is useful sometimes  here s some hacks i found   ,0.3,0.0,positive,0.0,0.707,0.293,0.4404
11,RT @jr_majewski: No ones talking about this double rape and murder of a minor that was live-streamed on Facebook https://t.co/hHCw0OE2yX, no ones talking about this double rape and murder of a minor that was live streamed on facebook  ,0.028787878787878782,0.2333333333333333,negative,0.453,0.547,0.0,-0.9118
12,"RT @GustavoBolivar: A las 7:00 PM hablo en Facebook Live con militares y policías (r) que se suman al #PactoHistórico 

¡Bienvenidos!

Favo…", a las 7 00 pm hablo en facebook live con militares y polic as  r  que se suman al  pactohist rico    bienvenidos   favo ,0.13636363636363635,0.5,neutral,0.0,1.0,0.0,0.0
13,"RT @NingunEduardo: Ya danos una serie o algo @NetflixLAT

https://t.co/Np7dSuxUTm", ya danos una serie o algo     ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
14,RT @TheKennyRoda: Everyone's favorite secret service agent from @Warehouse13 &amp; @nccsvikings grad @EddieMcClintock joined the Kenny/JT show…, everyone s favorite secret service agent from    amp    grad   joined the kenny jt show ,0.04999999999999999,0.85,positive,0.0,0.692,0.308,0.5994
15,On Triple M yesterday and ABC South West this morning talking about having my Facebook page blocked. Who would have… https://t.co/kHF9SCSTLl,on triple m yesterday and abc south west this morning talking about having my facebook page blocked  who would have   ,0.0,0.0,negative,0.104,0.896,0.0,-0.2732
16,"RT @SistersInBiz: Penny 40 lbs #LostDog 
#Exeter #RhodeIsland 2/18/21 Sheffield Hill Rd area
Brown w white patch
Wearing red coat/purple co…", penny 40 lbs  lostdog   exeter  rhodeisland 2 18 21 sheffield hill rd area brown w white patch wearing red coat purple co ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
17,"RT @SF9__Unofficial: [Notice] &lt;INTRODUCTION STAGE&gt; Global Live Streaming ‼️

#SF9 #에스에프나인 @SF9official

https://t.co/07z2J7lZMY https://t.c…",  notice   lt introduction stage gt  global live streaming      sf9               ,0.06818181818181818,0.25,positive,0.0,0.792,0.208,0.2732
18,"RT @katpromotes: isang daan GPera 💸 matatapos bukas

— gustuhin nyo ❤️👍
https://t.co/L9BQIZzMYq

RT niyo to + maghulog ng proof", isang daan gpera   matatapos bukas    gustuhin nyo        rt niyo to   maghulog ng proof,0.0,0.0,neutral,0.0,1.0,0.0,0.0
19,"Tem um maluco no meu Facebook que tem duas filhas pequenas e posta que vai se matar pelo menos uma vez por mês.

Eu… https://t.co/WeAEhBFfhl",tem um maluco no meu facebook que tem duas filhas pequenas e posta que vai se matar pelo menos uma vez por m s   eu   ,0.0,0.0,negative,0.095,0.905,0.0,-0.296
20,https://t.co/wJGsBoV06j, ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
22,Question: is News via @facebook the primary attraction for visitors or is the fact that it's the meeting place for… https://t.co/eD6PEQSzGL,question  is news via   the primary attraction for visitors or is the fact that it s the meeting place for   ,0.4,0.5,positive,0.0,0.857,0.143,0.4588
24,RT @JuanMarioLimaD: #Facebook desafía a #Australia bloqueando los contenidos de actualidad. #Cuba #CubaViva #SomosCuba #SomosContinuidad #F…,  facebook desaf a a  australia bloqueando los contenidos de actualidad   cuba  cubaviva  somoscuba  somoscontinuidad  f ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
25,"Here we go!! Mayoral Make A Wish Showdown 💫 Come support a great cause! @MakeAWish @SFWish 

📺… https://t.co/JIBSYD39zA",here we go   mayoral make a wish showdown   come support a great cause            ,0.8,0.75,positive,0.0,0.457,0.543,0.8591
26,https://t.co/fp3fgOd7Y9, ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
27,RT @TheOnion: Facebook Takes Down All Posts Spreading Misinformation About Fictional Nation Of ‘Australia’ https://t.co/RVAZr5EYL0 https://…, facebook takes down all posts spreading misinformation about fictional nation of  australia     ,-0.07777777777777779,0.2694444444444445,negative,0.173,0.827,0.0,-0.3182
